angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.01,,"[236, 176, 117, 139]",,0.0,,0.04,,0.08,,0.37,,0.49,,0.01,
0.02,,"[230, 169, 120, 146]",,0.0,,0.08,,0.21,,0.44,,0.25,,0.01,
0.04,,"[228, 172, 123, 149]",,0.0,,0.18,,0.2,,0.25,,0.3,,0.03,
0.04,,"[231, 185, 119, 142]",,0.0,,0.09,,0.04,,0.37,,0.42,,0.03,
0.03,,"[224, 178, 124, 151]",,0.0,,0.13,,0.15,,0.34,,0.32,,0.02,
0.02,,"[221, 181, 128, 155]",,0.0,,0.09,,0.11,,0.41,,0.35,,0.01,
0.02,0.48,"[213, 191, 130, 158]","[205, 179, 19, 24]",0.0,0.0,0.08,0.07,0.25,0.09,0.19,0.08,0.44,0.27,0.01,0.0
0.05,,"[213, 197, 133, 163]",,0.0,,0.09,,0.13,,0.39,,0.3,,0.04,
0.02,,"[208, 195, 138, 172]",,0.0,,0.06,,0.18,,0.52,,0.2,,0.01,
0.01,,"[207, 199, 139, 170]",,0.0,,0.03,,0.12,,0.76,,0.07,,0.0,
0.02,0.25,"[206, 199, 138, 171]","[190, 188, 20, 25]",0.0,0.0,0.04,0.07,0.07,0.12,0.79,0.07,0.08,0.49,0.0,0.01
0.04,,"[208, 199, 136, 168]",,0.0,,0.07,,0.16,,0.66,,0.06,,0.01,
0.05,,"[210, 196, 136, 167]",,0.0,,0.07,,0.08,,0.66,,0.12,,0.02,
0.06,,"[212, 195, 133, 164]",,0.0,,0.07,,0.06,,0.67,,0.13,,0.01,
0.07,,"[216, 192, 130, 159]",,0.0,,0.09,,0.14,,0.41,,0.27,,0.02,
0.06,,"[218, 188, 132, 159]",,0.0,,0.06,,0.16,,0.43,,0.27,,0.02,
0.02,,"[220, 186, 123, 147]",,0.0,,0.07,,0.22,,0.14,,0.54,,0.01,
0.02,,"[228, 187, 119, 141]",,0.0,,0.02,,0.06,,0.19,,0.71,,0.01,
0.02,,"[224, 173, 123, 149]",,0.0,,0.1,,0.08,,0.13,,0.64,,0.03,
0.03,,"[228, 169, 120, 145]",,0.0,,0.09,,0.19,,0.13,,0.54,,0.03,
0.02,,"[237, 170, 117, 143]",,0.0,,0.06,,0.28,,0.18,,0.45,,0.01,
0.02,,"[239, 173, 116, 137]",,0.0,,0.05,,0.15,,0.35,,0.43,,0.0,
0.02,,"[249, 172, 109, 131]",,0.0,,0.04,,0.12,,0.71,,0.11,,0.0,
0.02,,"[250, 172, 109, 131]",,0.0,,0.02,,0.19,,0.7,,0.07,,0.0,
0.01,,"[249, 171, 109, 130]",,0.0,,0.02,,0.28,,0.63,,0.06,,0.0,
0.01,,"[248, 171, 109, 131]",,0.0,,0.02,,0.14,,0.74,,0.1,,0.0,
0.01,,"[245, 164, 112, 140]",,0.0,,0.04,,0.3,,0.57,,0.09,,0.0,
0.01,,"[243, 175, 111, 135]",,0.0,,0.03,,0.12,,0.37,,0.47,,0.0,
0.01,,"[238, 175, 112, 139]",,0.0,,0.04,,0.19,,0.38,,0.38,,0.0,
0.01,,"[235, 178, 115, 138]",,0.0,,0.03,,0.08,,0.44,,0.43,,0.0,
0.0,,"[233, 176, 117, 143]",,0.0,,0.02,,0.04,,0.37,,0.55,,0.0,
0.01,,"[234, 175, 119, 147]",,0.0,,0.05,,0.11,,0.33,,0.5,,0.0,
0.01,,"[228, 177, 124, 147]",,0.0,,0.04,,0.06,,0.42,,0.47,,0.0,
0.02,,"[231, 181, 120, 147]",,0.0,,0.05,,0.04,,0.62,,0.26,,0.0,
0.02,,"[230, 185, 120, 145]",,0.0,,0.05,,0.02,,0.61,,0.31,,0.0,
0.02,,"[228, 181, 119, 145]",,0.0,,0.08,,0.03,,0.51,,0.34,,0.02,
0.02,,"[227, 182, 120, 144]",,0.0,,0.05,,0.02,,0.67,,0.23,,0.01,
0.02,,"[227, 183, 121, 145]",,0.0,,0.03,,0.04,,0.76,,0.14,,0.01,
0.02,,"[220, 177, 124, 149]",,0.0,,0.08,,0.09,,0.65,,0.15,,0.01,
0.02,,"[220, 177, 124, 149]",,0.0,,0.08,,0.05,,0.65,,0.2,,0.0,
0.01,,"[220, 176, 123, 149]",,0.0,,0.06,,0.13,,0.65,,0.15,,0.0,
0.01,,"[221, 176, 122, 147]",,0.0,,0.06,,0.1,,0.32,,0.51,,0.0,
0.01,,"[221, 175, 122, 147]",,0.0,,0.08,,0.06,,0.32,,0.52,,0.0,
